OTUname,phylum,class,order,family,genus,species,A,B,C,clFDR
OTU_868,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,unclassified Rikenellaceae,unclassified Rikenellaceae,0,0,0,0.1589358670706712
OTU_37,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,unclassified Rikenellaceae,unclassified Rikenellaceae,0,0,0,0.1589358670706712
OTU_1081,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,0,0,0,0.1589358670706712
OTU_701,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,unclassified Desulfovibrionaceae,unclassified Desulfovibrionaceae,0,0,0,0.1608316234718026
OTU_477,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,salivarius,0,0,0,0.16174207816342454
OTU_7,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii,1.95996398454005,1.95996398454005,0,0.1632737617899033
OTU_219,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,spiroforme,-2.70950030675198,0,0,0.16399696666507005
OTU_34,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,perfringens,-2.70950030675198,0,0,0.16409413219793248
OTU_549,Firmicutes,Clostridia,Clostridiales,Mogibacteriaceae,unclassified Mogibacteriaceae,unclassified Mogibacteriaceae,0,0,0,0.16416607055843854
OTU_1049,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,mucilaginosa,0,0,0,0.16416607055843854
OTU_1022,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,0,0,0,0.1643926137677748
OTU_30,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Phascolarctobacterium,unclassified Phascolarctobacterium,0,0,0,0.16524749397111696
OTU_511,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,0,0,0,0.16616209566455561
OTU_273,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,0,0,0,0.1666794016562085
OTU_443,Firmicutes,Clostridia,Clostridiales,Mogibacteriaceae,unclassified Mogibacteriaceae,unclassified Mogibacteriaceae,0,0,0,0.16813292506763453
OTU_162,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,ramosum,-2.70950030675198,0,0,0.1683234705346221
OTU_1085,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,fimetarium,-2.70950030675198,0,0,0.1684290544251024
OTU_827,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,unclassified Clostridium,-2.70950030675198,0,0,0.16842905442510242
OTU_831,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,colinum,-2.70950030675198,0,0,0.16842905442510242
OTU_1396,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,purinilyticum,-2.70950030675198,0,0,0.16842905442510242
OTU_884,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,unclassified Clostridium,-2.70950030675198,0,0,0.16842905442510242
OTU_544,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,unclassified Clostridium,-2.70950030675198,0,0,0.16842905442510242
OTU_1295,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,butyricum,-2.70950030675198,0,0,0.16842905442510242
OTU_1435,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,perfringens,-2.70950030675198,0,0,0.16842905442510242
OTU_1060,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,methylpentosum,-2.70950030675198,0,0,0.16842905442510242
OTU_1138,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,methylpentosum,-2.70950030675198,0,0,0.16842905442510242
